STT,Câu hỏi,Câu trả lời,1. Xác định đúng vấn đề,2. Trích đúng điều luật (Đủ căn cứ),3. Trả lời đúng câu hỏi,4. Câu trả lời rõ ràng,Ghi chú verify điều luật & căn cứ,Phân loại
140,"NN giao đất cho TC kinh tế, nham bố trí
 nhà ở cho cán bộ, nviên trong đơn vị. Cán
 bộ nviên có được bán lại cho người ngoài
 đvị k ?",,,,,,,"Kind 2 - Quyền, nghĩa vụ và việc sử dụng đất"
141,"Mọi người cho e tham khảo với ạ: chồng e được hợp đồng uỷ quyền toàn phần sổ đỏ của chính và theo e biết thì chồng e giờ không đứng tên sổ đất đó được vì là người được uỷ quyền đúng không các ơi.
 Và nếu giờ chồng e cho e đứng tên có được không ạ và phải làm bước nào cho hợp lí , mong mọi người tham vấn giúp em với ạ. E cám mn nhiều ❤️",,,,,,,"Kind 2 - Quyền, nghĩa vụ và việc sử dụng đất"
142,"Em muốn hỏi vấn đề như sau ạ:
 Sổ đỏ đứng tên 2 người đồng sở hữu.Nhưng hiện tại muốn bán mảnh đất.Nhưng vì lý do địa lý đi làm xa.Đã làm hợp đồng uỷ quyền lại có công chứng của văn phòng công chứng giao toàn quyền cho người còn lại quyết định mọi thủ tục liên quan.
 Nhưng vẫn không thực hiện được là sao ạ",,,,,,,"Kind 2 - Quyền, nghĩa vụ và việc sử dụng đất"
143,"Kính nhờ Quý Luật Sư cùng Quý cao nhận chỉ giáo giúp trường hợp sau:
+ Chồng sn 1972,
+ Vợ SN 1971,
+ Kết hôn 1997,
+ Sinh con trai sn 1998;
+ Năm 2000 người chồng bỏ đi biệt tăm, còn vợ một mình nuôi con nhỏ tới nay;
+ Năm 2023 Vợ mua được căn nhà riêng!
+ Vậy bây giờ năm 2026 người vợ muốn bán nhà chính tự họ làm việc và dành dụm tích góp tiền của để mua nhà và nay muốn chứng minh tài sản riêng của người vợ để chứng thực được tự do bán căn nhà này để thanh toán các công nợ vay mượn người khác thì phải làm như thế nào mới hợp pháp và đúng chuẩn pháp lý chuyển nhượng cho người khác!
Xin mọi người chỉ giáo giúp ạ!
Chân thành cám ơn mọi người!
Trân trọng!",,,,,,,"Kind 2 - Quyền, nghĩa vụ và việc sử dụng đất"
144,"Mình rất mong cộng đồng giúp đỡ và giải đáp giùm mình. Cụ thể: Khoảng năm 2000, ba mình có mua đất hơn 300m^2 (thuộc đất trồng cây lâu năm) thuộc sổ chung từ chủ đất A, có xác nhận vi bằng. Năm 2018, người chủ này đã mất và theo mình biết, chủ A còn có những người con chưa được ủy quyền thừa kế đất ở trên. Bây giờ ba mình mong muốn làm sổ để chuyển nhượng quyền sử dụng đất cho các con thì làm như thế nào?!",,,,,,,"Kind 2 - Quyền, nghĩa vụ và việc sử dụng đất"
145,Anh chị cho hỏi: anh chị cho tặng em dâu đất thì phải nộp thuế thu nhập cá nhân không. Vì chồng của em dâu không ở nhà nên phait cho riêng em dâu,,,,,,,"Kind 2 - Quyền, nghĩa vụ và việc sử dụng đất"
146,"Mình sắp đc tặng 700met đất thổ cư từ Sổ 3000met tách thửa ra. Giờ có bị giảm thổ cư ko vậy a/c?
Sổ mình 2004 cln, đã nộp tiền chuyển mục đích năm 2011 lên 1500 met thổ cư , ở bình dương",,,,,,,"Kind 2 - Quyền, nghĩa vụ và việc sử dụng đất"
147,"Thời điểm 2002 nhà e có xây dựng 1 căn
 nhà trên đất nông nghiệp. Đến nay e đi
 chuyển đổi mục đích sử dụng đất thì có bị
 xử phạt vphc về việc xây dựng nhà trái
 phép trên đất NN k ạ.",,,,,,,"Kind 2 - Quyền, nghĩa vụ và việc sử dụng đất"
148,"Dạ mọi người cho em hỏi, ngày mai e sẽ lên chi cục thuế quận 12 để tính lại tiền sử dụng đất, (240 mét vuông) giấy thông báo từ năm 2016 là 144 triệu nhưng chưa đóng tới bây giờ, theo em tìm hiểu thì sẽ có 2 hướng: 
 - đóng tiền nộp chậm thì tầm 300-400tr
 - tính theo giá mới thì lên tới 2 tỷ 5
 Cả nhà em đang rất hoang mang vì nếu lên tới 2 tỷ 5 thì là phải bán đất thôi ạ 🙁",,,,,,,"Kind 2 - Quyền, nghĩa vụ và việc sử dụng đất"
149,"Các anh chị bạn bè trong nhóm cho em hỏi 1 việc thế này.Sổ đỏ nhà e được cấp năm 2000 do bố em là thương binh hạng 2/4 , ngày trước được miễn tiền thuế đất phi nông nghiệp nhưng bây giờ theo luật đất đai 2024 bên thuế bảo chỉ được giảm 50% tiền thuế đất phi nông nghiệp .Nhưng do trước được miễn nên nhà em cũng không để ý đi kê khai thuế nên bây giờ bên thuế họ truy thu thuế và phạt nộp chậm từ năm 2000 có đúng không ạ.E xin cảm ơn!",,,,,,,"Kind 2 - Quyền, nghĩa vụ và việc sử dụng đất"
150,"Năm 2022, Em có mua 1 miếng đất, trên đất có trồng cây cao su đã già. Nhưng em ở xa không trực tiếp quản lý, chỉ cho thuê, khoảng năm 2023 thì nhà hàng xóm đã cắt cây caosu tự múc mương lấn chiếm qua 2000m2 để trồng cây, sự việc chỉ được phát hiện khi gần đây em có nhu cầu vay vốn, cần có trích lục mới nên đã gọi địa chính vào đo. Theo sổ cũ thì đất của em là 1.5320m2, bản đồ vệ tinh thì đất của em diện tích 1.5490m2 và  dài xuống dưới chỗ mà bị lấn chiếm  (gần khớp với sổ, chỉ chênh >100m2 do lệch bờ mương xung quanh) , nhưng nhà ông A cứ khẳng định ông đã cho người múc lại mương trồng cây, đó là đất của ông. Khi em hỏi sổ thì ông nói ông chưa có sổ/chưa đo.
Vậy bây giờ em cần làm gì để đòi lại được đất ạ? Nếu như đất của ông A bao gồm cả phần 2000m2 kia thì không lẽ trước đây địa chính đã đo sai đất cho em hay sao ạ.",,,,,,,Kind 3 - Tranh chấp và các tình huống pháp lý cụ thể
151,"Cho tôi hỏi là, tôi có sang tên một mảnh đất, và có làm hợp đồng giấy tay, mà lúc làm hợp đồng giấy tay đó, chỉ ghi bên bán, mà không ghi tên bên mua, mà cũng không có mặt người mua tại đó, mà nhờ trưởng ấp viết tên chứ không ký thì theo anh/ chị ở đây là hợp đông này có hiệu lực không?
Dù tôi có bảo răng căn cứ theo hợp đông mà giải quyêt thì họ cứ khăng khăng tôi phải trả cọc 1 đên 2 cho họ, họ còn đòi kiện tôi ra tòà nữa. Mà bản gốc họ giữ, tôi chỉ giữ hình ảnh, thì liệu nếu họ viết thêm gì vào bản gốc thì có sao không? Và họ không ghi tôi đã nhận cọc hay gì mà họ chỉ ghi tôi đã nhận tiền chuyến nhượng, và tôi không có kí tên cọc nào cả, chỉ kí tên phần tiền chuyển nhượng, nhưng không ghi rõ ai đưa tiền cho tôi, chỉ có trưởng ấp kí chứng kiến. Tôi xin cảm ơn!",,,,,,,Kind 3 - Tranh chấp và các tình huống pháp lý cụ thể
152,"Chuyện tế nhị nên e xin phép ẩn danh
 Câu chuyện của e bắt đầu ngày 24/11, em có cọc mua 1 căn chung cư của chị gái chồng vs giá trị 5 tỉ. E và bạn có chung nhau, e 200tr, ban 500tr, do lúc đó c ý cần 700tr để giải quyết việc nên c ý bảo cọc 700tr. Thời hạn cọc là 1 tháng từ 24/11 tới 24/12. Tới ngày 12/12 do công việc của e có phát sinh, e ko bán dc lô đất của mình nên e có gọi cho c thì c báo là c trả lại cọc, có 3 người cùng nghe
 Tới ngày 24/12 bạn e cần tiền vào 1 lô đất khác thì e có gọi điện trc xin lại phần cọc của bạn m thì c hẹn 12 qua nhà c
 Tới tối 11/12 gọi điện thì c bảo bh bán dc thì trả cọc và phải phạt cọc, ý c nói là 200tr. Trong khi chung cư đó c đã bán dc 10 ngày rồi, đang trong tg nhận cọc của ngta vẫn bán đúng 5 tỉ
 Bạn e có quan điểm rõ ràng là e có lỗi nên phạt cọc thì phạt vc nhà e phải chịu nhưng chị vẫn đòi phạt
 Nói thêm là nhà c ck e rất giàu, luôn bảo rằng làm cái này cái kia hàng trăm tỉ. CE cũng đang rất hòa thuận, ck c ý bận công việc nên làm việc j từ cái nhỏ nhất là trông con cho c ý nấu cơm cũng là ck m sang trông hộ 
 Vậy xin hỏi nếu trong trường hợp c ck e ko trả cọc e có quyền kiện ra toà ko? Và e có cơ hội lấy lại tiền của m trong trường hợp này ko?",,,,,,,Kind 3 - Tranh chấp và các tình huống pháp lý cụ thể
153,"Trước đây cha mẹ tôi đi khai hoang một khu đất, lúc đó là đất trống, đồng không mông quạnh, không phải đất do ông bà để lại. Cha mẹ tôi bao đất, sử dụng ổn định, làm nhà ở và có xin phép địa phương thời điểm đó.
 Hiện nay trong khuôn viên đất gia đình tôi đang ở có khoảng gần 1.000 m² đất chưa có bất kỳ giấy tờ nào, phần đất này đang thể hiện trên hồ sơ địa phương mang tên chú ruột tôi. Lý do là trước đây anh em tôi không ở nhà nên cha tôi nhờ chú đứng tên giúp cho dễ làm thủ tục giấy tờ, chứ thực tế gia đình tôi là người khai hoang và sử dụng đất từ đầu đến nay.
 Nay gia đình tôi muốn làm hồ sơ xin cấp giấy chứng nhận (làm bìa) cho phần đất còn lại nên đề nghị chú tôi ký giấy ủy quyền hoặc xác nhận, nhưng chú tôi không đồng ý ký, gây tranh chấp.
 Xin hỏi trong trường hợp đất khai hoang, sử dụng ổn định lâu dài như vậy thì gia đình tôi có hướng giải quyết pháp lý nào không? Cần làm những thủ tục gì để bảo vệ quyền lợi?",,,,,,,Kind 3 - Tranh chấp và các tình huống pháp lý cụ thể
154,"Mình ở đồng Nai, năm 2018 mình có mua nền đất 100m2 bằng vi bằng. Lúc đó chủ đất phân nền ra bán, đường đi nội bộ. Lúc mua chủ nói hiện đang làm hồ sơ hiến đường sau này sẽ tãch sổ và lên thổ cư riêng từng sổ ( chi phí tách sổ lên thổ cư người mua phải chịu) nhưng đã nhiều năm trôi qua nhưng chủ không tách sổ được chỉ nói là chưa tách được. Vì thế nên mình cũng không xây dựng được do xã không cho. Giờ mình có khởi kiện ra tòa để toà tuyên công nhận hđ mua bán được không cả nhà( tiền mình đã trả hết) hay mình yêu cầu tuyên vô hiệu ah, mong mọi người tư vấn",,,,,,,Kind 3 - Tranh chấp và các tình huống pháp lý cụ thể
155,"Em chào mọi người ạ,dạ em muốn mọi người tư vấn giúp em ạ,câu chuyện của em như sau: Mẹ chồng em có viết giấy ủy quyền thừa kế tài sản và đất ở cho chồng em trước khi anh lấy vợ,( Bố chồng em đã mất) Và cách đây mấy năm mẹ chồng em có nói với với ace trong nhà là mẹ em muốn làm sổ đỏ sang tên cho chồng em,trong ace trong nhà có 1 người không ký để làm sổ đỏ cho chồng em (Trong khi đó người anh đó đã được bm em chia đất cho ạ,và diện tích đất còn nhiều hơn của chồng em).Mọi người tư vấn giúp em trường hợp của chồng em bây giờ phải như thế nào mới sang tên được ạ?Em cảm ơn ạ.",,,,,,,Kind 3 - Tranh chấp và các tình huống pháp lý cụ thể
156,"Công ty mình thuê đất của X30- BCA xây dựng nhà xưởng 5300m2. Nhưng khi dịch đến thì BCA mượn làm bệnh viện dã chiến. Đến nay là 5 năm nhưng chưa trả lại nhà xưởng, cũng k trả lại tiền cọc cho doanh nghiệp, thậm chí sang nhà kho cũng k được. Ép bên mình phải thanh lý hợp đồng rồi sẽ trình bộ phương án giải quyết sau. Đây là biên làm việc gần nhất mình xin được chia sẻ để anh chị nắm thông tin cụ thể ạ.",,,,,,,Kind 3 - Tranh chấp và các tình huống pháp lý cụ thể
157,"Nha hang xom muc đat tu 2013 xuong 5 met lam đất
 nhà em sut lun xuống gần đến móng nhà, nut tưong
 nhe den nay 2024nha em muon giai quyet: hang xom
 phải xây kè để giữ nguyên hiện trạng đất cho nhà e .
 Mong các luật sư tư vấn cho em ạ",,,,,,,Kind 3 - Tranh chấp và các tình huống pháp lý cụ thể
158,"Chào anh chị, đất của em sau khi mua lại thì lúc làm hồ sơ lên thổ cư phát hiện bị sai vị trí trên sổ với thực tế, thực tế em mua miếng đất trống, nhưng trên sổ thì lại là đất bên hàng xóm, đã xây nền làm nhà tiền chế, em thoả thuận vs hàng xóm sẽ bán lại đất cho hàng xóm, nhưng khi làm hồ sơ sang tên cán bộ nói phải đăng kí đo đạc, cho em hỏi, sau khi đo đạc thì phải cấp lại sổ mới rồi mới bán được hay sao ạ, em định chỉ ranh khi đo cho địa chính đúng với miếng đất trên bản vẽ sổ đỏ luôn cho tiện, mà đất đó thì đã xây nền nhưng lại là đất trồng cây lâu năm. 
Xin anh chị có kinh nghiệm, kiến thức tư vấn giúp em ạ.",,,,,,,Kind 3 - Tranh chấp và các tình huống pháp lý cụ thể
159,"Nhà em mua đất 200m2 đất không thể tách đôi hay chia Diện tích nhỏ hơn. 
Hiện có nhà ở bên cạnh đã xây nhà kiên cố cạnh phần đất nhà em. Trước đó nhà đó tự dưng bảo với gia đình em do địa chính cũ đo tọa độ bằng tay nên hiện nay số đo bằng máy khác với số đo bằng tay trước đây cho nên đuôi nhà đó bị xây lệch sang đất nhà em, muốn mua lại chỗ phần xây lấn sang. Nhưng do S đất không thể tách nên nhà đó lại tìm phương án khác…
Gia đình đó do vợ 2 muốn sang tên sổ Hồng đứng cả tên vợ 2 nên muốn nhà e kí giáp danh để sang tên. Tuy nhiên nhà đó bảo mời bên đo đạc đến đo(không có mặt gia đình em) lại bảo lại không bị sang đất nhà em và đưa tờ giấy ép nhà e kí giáp danh gấp.‼️ 
Ace hiểu luật cho e hỏi nếu nhà e mời bên đo đạc ở VPCC đến đo, sau đó nên làm gì để chứng minh nhà đó xây nhà không bị xây lấn sang nhà em và tránh rắc rối về sau thì có nên cắm mốc k ạ?",,,,,,,Kind 3 - Tranh chấp và các tình huống pháp lý cụ thể
160,Cho minh hỏi .năm 1997 anh rể minh có cho vk ck mình một mảnh đật và vk ck mình đã xây dựng nhà ở từ năm 1997 đến hiện tại bây giờ và kèm theo giấy viết tay của 2vk ck anh rể cho vk ck mình .nhưng giờ anh rể minh làm đơn ra tòa đòi lại. Mình xin chân thành gủi đến cồng động mạng cho mình lời ý kiến chân thâ,,,,,,,Kind 3 - Tranh chấp và các tình huống pháp lý cụ thể
161,Luật sư cho em hỏi đất của cha ông để lại nhưng năm 1995 sổ quy chủ và sổ đỏ đứng tên bố mẹ em và 5 người con ong bà ở cùng vườn nhưng hộ khẩu khác hơn 10 năm sau ông đã mất bà nội kêu bác và bố về làm giấy thỏa thuận trong giấy ghi bà lấy lại 200 m2 làm nơi thờ cúng còn nữa bà cho bố em và bố và bác kí rồi bà điểm chỉ đến ub xã xác nhận và 2 người làm chứng mà mẹ em và mấy người con ko nhất trí vậy xin hỏi bản thỏa thuận này có hợp pháp ko ạ hay để lâu dài có phức tạp ko ạ nhờ luật sư tư vấn gúp,,,,,,,Kind 3 - Tranh chấp và các tình huống pháp lý cụ thể
162,"Xin các anh/chị tư vấn giúp.
 Em có mua 1 miếng đất trong đó có 400m2 thổ cư, đã hoàn tất các thủ tục công chứng chuyển nhượng, chuyển khoản đầy đủ tiền mua đất + tiền cò. Tới bước nộp hồ sơ vào phòng TN thì mới phát hiện đất lệch diện tích, khi gọi địa chính vào đo thì lại phát hiện có tranh chấp với hàng xóm, cun thể là hàng xóm lấn đất diện tích rất nhiều.
 Em không thể nhận chuyển nhượng được, đã trao đổi lại với chủ cũ trả lại bớt tiền đúng với diện tích bị mất, nhưng chủ cũ cho rằng đã là hợp đồng rồi thì không trả lại, còn họ sẽ hỗ trợ đòi lại đất vì đất đó là của họ.
 Hợp đồng của em bị dính điều khoản phải đóng tất cả các khoản thuế bao gồm cả thuế thu nhập của bên bán, thuế đất hàng năm.
 Tuy nhiên em vẫn chưa nhận được chuyển nhượng, chưa được bàn giao đủ đất (vẫn giữ nguyên hiện trạng) thì các nghĩa vụ này do bên nào chịu trách nhiệm ạ? Và mình cần làm gì để ép chủ cũ phải có trách nhiệm sớm đòi lại đất cho mình ạ",,,,,,,Kind 3 - Tranh chấp và các tình huống pháp lý cụ thể
